Fund Holdings as of,"05/Apr/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"LAD","LITHIA MOTORS INC CLASS A","Equity","0.13","391.59","12,173.00","4,766,825.07","4,766,825.07","Consumer Discretionary","US5367971034","New York Stock Exchange Inc.","United States","USD"
"OLED","UNIVERSAL DISPLAY CORP","Equity","0.13","243.53","19,563.00","4,764,177.39","4,764,177.39","Information Technology","US91347P1057","NASDAQ","United States","USD"
"KSS","KOHLS CORP","Equity","0.12","59.07","80,515.00","4,756,021.05","4,756,021.05","Consumer Discretionary","US5002551043","New York Stock Exchange Inc.","United States","USD"
"RS","RELIANCE STEEL & ALUMINUM","Equity","0.12","156.95","30,280.00","4,752,446.00","4,752,446.00","Materials","US7595091023","New York Stock Exchange Inc.","United States","USD"
"RGEN","REPLIGEN CORP","Equity","0.12","200.42","23,541.00","4,718,087.22","4,718,087.22","Health Care","US7599161095","NASDAQ","United States","USD"
"NCLH","NORWEGIAN CRUISE LINE HOLDINGS LTD","Equity","0.12","29.71","158,038.00","4,695,308.98","4,695,308.98","Consumer Discretionary","BMG667211046","New York Stock Exchange Inc.","United States","USD"
"HUBB","HUBBELL INC","Equity","0.12","192.42","24,256.00","4,667,339.52","4,667,339.52","Industrials","US4435106079","New York Stock Exchange Inc.","United States","USD"
"RH","RH","Equity","0.12","592.93","7,810.00","4,630,783.30","4,630,783.30","Consumer Discretionary","US74967X1037","New York Stock Exchange Inc.","United States","USD"
"TPL","TEXAS PACIFIC LAND CORP","Equity","0.12","1,587.99","2,909.00","4,619,462.91","4,619,462.91","Energy","US88262P1021","New York Stock Exchange Inc.","United States","USD"
"FLEX","FLEX LTD","Equity","0.12","18.31","250,650.00","4,589,401.50","4,589,401.50","Information Technology","SG9999000020","NASDAQ","United States","USD"
"JLL","JONES LANG LASALLE INC","Equity","0.12","185.82","24,530.00","4,558,164.60","4,558,164.60","Real Estate","US48020Q1076","New York Stock Exchange Inc.","United States","USD"
"ZNGA","ZYNGA INC CLASS A","Equity","0.12","10.66","418,365.00","4,459,770.90","4,459,770.90","Communication","US98986T1088","NASDAQ","United States","USD"
"GLPI","GAMING AND LEISURE PROPERTIES REIT","Equity","0.12","43.91","101,081.00","4,438,466.71","4,438,466.71","Real Estate","US36467J1088","NASDAQ","United States","USD"
"AXON","AXON ENTERPRISE INC","Equity","0.12","146.33","30,226.00","4,422,970.58","4,422,970.58","Industrials","US05464C1018","NASDAQ","United States","USD"
"SCI","SERVICE","Equity","0.12","52.01","84,693.00","4,404,882.93","4,404,882.93","Consumer Discretionary","US8175651046","New York Stock Exchange Inc.","United States","USD"
"DECK","DECKERS OUTDOOR CORP","Equity","0.11","331.00","13,206.00","4,371,186.00","4,371,186.00","Consumer Discretionary","US2435371073","New York Stock Exchange Inc.","United States","USD"
"NLSN","NIELSEN HOLDINGS PLC","Equity","0.11","25.53","171,216.00","4,371,144.48","4,371,144.48","Industrials","GB00BWFY5505","New York Stock Exchange Inc.","United States","USD"
"WEX","WEX INC","Equity","0.11","215.17","20,277.00","4,363,002.09","4,363,002.09","Information Technology","US96208T1043","New York Stock Exchange Inc.","United States","USD"
"BLDR","BUILDERS FIRSTSOURCE INC","Equity","0.11","47.59","90,868.00","4,323,953.78","4,323,953.78","Industrials","US12008R1077","NASDAQ","United States","USD"
"CSL","CARLISLE COMPANIES INC","Equity","0.11","168.93","25,577.00","4,320,722.61","4,320,722.61","Industrials","US1423391002","New York Stock Exchange Inc.","United States","USD"
"PEN","PENUMBRA INC","Equity","0.11","275.42","15,675.00","4,317,208.50","4,317,208.50","Health Care","US70975L1070","New York Stock Exchange Inc.","United States","USD"
"AGCO","AGCO CORP","Equity","0.11","145.82","29,582.00","4,313,647.24","4,313,647.24","Industrials","US0010841023","New York Stock Exchange Inc.","United States","USD"
"IPHI","INPHI CORP","Equity","0.11","183.95","23,158.00","4,259,914.10","4,259,914.10","Information Technology","US45772F1075","NASDAQ","United States","USD"
"CLF","CLEVELAND CLIFFS INC","Equity","0.11","19.39","219,629.00","4,258,606.31","4,258,606.31","Materials","US1858991011","New York Stock Exchange Inc.","United States","USD"
"TCF","TCF FINANCIAL CORP","Equity","0.11","47.80","88,940.00","4,251,332.00","4,251,332.00","Financials","US8723071036","NASDAQ","United States","USD"
"WAL","WESTERN ALLIANCE","Equity","0.11","93.09","45,527.00","4,238,108.43","4,238,108.43","Financials","US9576381092","New York Stock Exchange Inc.","United States","USD"
"ATR","APTARGROUP INC","Equity","0.11","144.69","29,243.00","4,231,169.67","4,231,169.67","Materials","US0383361039","New York Stock Exchange Inc.","United States","USD"
"MRO","MARATHON OIL CORP","Equity","0.11","11.19","375,938.00","4,206,746.22","4,206,746.22","Energy","US5658491064","New York Stock Exchange Inc.","United States","USD"
"MIDD","MIDDLEBY CORP","Equity","0.11","163.44","25,601.00","4,184,227.44","4,184,227.44","Industrials","US5962781010","NASDAQ","United States","USD"
"RP","REALPAGE INC","Equity","0.11","87.58","46,938.00","4,110,830.04","4,110,830.04","Information Technology","US75606N1090","NASDAQ","United States","USD"
"STOR","STORE CAPITAL CORP","Equity","0.11","34.31","119,588.00","4,103,064.28","4,103,064.28","Real Estate","US8621211007","New York Stock Exchange Inc.","United States","USD"
"DXC","DXC TECHNOLOGY","Equity","0.11","31.85","128,831.00","4,103,267.35","4,103,267.35","Information Technology","US23355L1061","New York Stock Exchange Inc.","United States","USD"
"AMED","AMEDISYS INC","Equity","0.11","274.31","14,903.00","4,088,041.93","4,088,041.93","Health Care","US0234361089","NASDAQ","United States","USD"
"TOL","TOLL BROTHERS INC","Equity","0.11","59.30","68,368.00","4,054,222.40","4,054,222.40","Consumer Discretionary","US8894781033","New York Stock Exchange Inc.","United States","USD"
"CIEN","CIENA CORP","Equity","0.11","56.79","71,241.00","4,045,776.39","4,045,776.39","Information Technology","US1717793095","New York Stock Exchange Inc.","United States","USD"
"WSO","WATSCO INC","Equity","0.11","270.89","14,933.00","4,045,200.37","4,045,200.37","Industrials","US9426222009","New York Stock Exchange Inc.","United States","USD"
"CHDN","CHURCHILL DOWNS INC","Equity","0.10","228.77","17,435.00","3,988,604.95","3,988,604.95","Consumer Discretionary","US1714841087","NASDAQ","United States","USD"
"KIM","KIMCO REALTY REIT CORP","Equity","0.10","19.05","209,013.00","3,981,697.65","3,981,697.65","Real Estate","US49446R1095","New York Stock Exchange Inc.","United States","USD"
"UTHR","UNITED THERAPEUTICS CORP","Equity","0.10","192.75","20,620.00","3,974,505.00","3,974,505.00","Health Care","US91307C1027","NASDAQ","United States","USD"
"NNN","NATIONAL RETAIL PROPERTIES REIT IN","Equity","0.10","45.04","87,668.00","3,948,566.72","3,948,566.72","Real Estate","US6374171063","New York Stock Exchange Inc.","United States","USD"
"PBCT","PEOPLES UNITED FINANCIAL INC","Equity","0.10","18.08","218,316.00","3,947,153.28","3,947,153.28","Financials","US7127041058","NASDAQ","United States","USD"
"BC","BRUNSWICK CORP","Equity","0.10","96.92","40,578.00","3,932,819.76","3,932,819.76","Consumer Discretionary","US1170431092","New York Stock Exchange Inc.","United States","USD"
"LAMR","LAMAR ADVERTISING COMPANY CLAS","Equity","0.10","96.70","40,532.00","3,919,444.40","3,919,444.40","Real Estate","US5128161099","NASDAQ","United States","USD"
"AER","AERCAP HOLDINGS NV","Equity","0.10","59.00","66,118.00","3,900,962.00","3,900,962.00","Industrials","NL0000687663","New York Stock Exchange Inc.","Netherlands","USD"
"GNTX","GENTEX CORP","Equity","0.10","36.53","106,428.00","3,887,814.84","3,887,814.84","Consumer Discretionary","US3719011096","NASDAQ","United States","USD"
"PII","POLARIS INDUSTRIES INC","Equity","0.10","137.62","28,190.00","3,879,507.80","3,879,507.80","Consumer Discretionary","US7310681025","New York Stock Exchange Inc.","United States","USD"
"CONE","CYRUSONE REIT INC","Equity","0.10","70.59","54,855.00","3,872,214.45","3,872,214.45","Real Estate","US23283R1005","NASDAQ","United States","USD"
"AMH","AMERICAN HOMES RENT REIT CLASS A","Equity","0.10","33.78","114,306.00","3,861,256.68","3,861,256.68","Real Estate","US02665T3068","New York Stock Exchange Inc.","United States","USD"
"CDK","CDK GLOBAL INC","Equity","0.10","54.45","70,877.00","3,859,252.65","3,859,252.65","Information Technology","US12508E1010","NASDAQ","United States","USD"
"AMG","AFFILIATED MANAGERS GROUP INC","Equity","0.10","154.41","24,947.00","3,852,066.27","3,852,066.27","Financials","US0082521081","New York Stock Exchange Inc.","United States","USD"
"FLIR","FLIR SYSTEMS INC","Equity","0.10","57.68","66,513.00","3,836,469.84","3,836,469.84","Information Technology","US3024451011","NASDAQ","United States","USD"
"USFD","US FOODS HOLDING CORP","Equity","0.10","38.17","100,093.00","3,820,549.81","3,820,549.81","Consumer Staples","US9120081099","New York Stock Exchange Inc.","United States","USD"
"APPS","DIGITAL TURBINE INC","Equity","0.10","81.82","46,608.00","3,813,466.56","3,813,466.56","Information Technology","US25400W1027","NASDAQ","United States","USD"
"FND","FLOOR DECOR HOLDINGS INC CLASS A","Equity","0.10","99.13","38,426.00","3,809,169.38","3,809,169.38","Consumer Discretionary","US3397501012","New York Stock Exchange Inc.","United States","USD"
"BERY","BERRY GLOBAL GROUP INC","Equity","0.10","62.41","60,824.00","3,796,025.84","3,796,025.84","Materials","US08579W1036","New York Stock Exchange Inc.","United States","USD"
"OSK","OSHKOSH CORP","Equity","0.10","120.85","31,307.00","3,783,450.95","3,783,450.95","Industrials","US6882392011","New York Stock Exchange Inc.","United States","USD"
"PFGC","PERFORMANCE FOOD GROUP","Equity","0.10","57.65","65,507.00","3,776,478.55","3,776,478.55","Consumer Staples","US71377A1034","New York Stock Exchange Inc.","United States","USD"
"COLD","AMERICOLD REALTY TRUST","Equity","0.10","38.99","96,479.00","3,761,716.21","3,761,716.21","Real Estate","US03064D1081","New York Stock Exchange Inc.","United States","USD"
"ITT","ITT INC","Equity","0.10","92.56","40,625.00","3,760,250.00","3,760,250.00","Industrials","US45073V1089","New York Stock Exchange Inc.","United States","USD"
"CRSP","CRISPR THERAPEUTICS AG","Equity","0.10","121.99","30,706.00","3,745,824.94","3,745,824.94","Health Care","CH0334081137","NASDAQ","United States","USD"
"SIGN","SIG COMBIBLOC GROUP AG","Equity","0.10","23.67","157,490.00","3,728,190.62","3,728,190.62","Materials","CH0435377954","SIX Swiss Exchange","Switzerland","CHF"
"BILL","BILL COM HOLDINGS INC","Equity","0.10","147.24","25,292.00","3,723,994.08","3,723,994.08","Information Technology","US0900431000","New York Stock Exchange Inc.","United States","USD"
"CBSH","COMMERCE BANCSHARES INC","Equity","0.10","77.77","47,794.00","3,716,939.38","3,716,939.38","Financials","US2005251036","NASDAQ","United States","USD"
"EHC","ENCOMPASS HEALTH CORP","Equity","0.10","80.87","45,880.00","3,710,315.60","3,710,315.60","Health Care","US29261A1007","New York Stock Exchange Inc.","United States","USD"
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Equity","0.10","103.85","35,530.00","3,689,790.50","3,689,790.50","Real Estate","US3137472060","New York Stock Exchange Inc.","United States","USD"
"CASY","CASEYS GENERAL STORES INC","Equity","0.10","219.77","16,763.00","3,684,004.51","3,684,004.51","Consumer Staples","US1475281036","NASDAQ","United States","USD"
"PVH","PVH CORP","Equity","0.10","104.30","35,293.00","3,681,059.90","3,681,059.90","Consumer Discretionary","US6936561009","New York Stock Exchange Inc.","United States","USD"
"STWD","STARWOOD PROPERTY TRUST REIT INC","Equity","0.10","24.80","148,136.00","3,673,772.80","3,673,772.80","Financials","US85571B1052","New York Stock Exchange Inc.","United States","USD"
"UAA","UNDER ARMOUR INC CLASS A","Equity","0.10","22.97","159,931.00","3,673,615.07","3,673,615.07","Consumer Discretionary","US9043111072","New York Stock Exchange Inc.","United States","USD"
"FSLY","FASTLY INC CLASS A","Equity","0.10","68.85","52,904.00","3,642,440.40","3,642,440.40","Information Technology","US31188V1008","New York Stock Exchange Inc.","United States","USD"
"THO","THOR INDUSTRIES INC","Equity","0.10","136.25","26,673.00","3,634,196.25","3,634,196.25","Consumer Discretionary","US8851601018","New York Stock Exchange Inc.","United States","USD"
"PCTY","PAYLOCITY HOLDING CORP","Equity","0.10","188.62","19,227.00","3,626,596.74","3,626,596.74","Information Technology","US70438V1061","NASDAQ","United States","USD"
"RARE","ULTRAGENYX PHARMACEUTICAL INC","Equity","0.10","113.42","31,966.00","3,625,583.72","3,625,583.72","Health Care","US90400D1081","NASDAQ","United States","USD"
"NVTA","INVITAE CORP","Equity","0.10","40.40","89,568.00","3,618,547.20","3,618,547.20","Health Care","US46185L1035","New York Stock Exchange Inc.","United States","USD"
"SMDS","SMITH (DS) PLC","Equity","0.09","5.75","628,670.00","3,612,558.86","3,612,558.86","Materials","GB0008220112","London Stock Exchange","United Kingdom","GBP"
"SITE","SITEONE LANDSCAPE SUPPLY INC","Equity","0.09","176.85","20,342.00","3,597,482.70","3,597,482.70","Industrials","US82982L1035","New York Stock Exchange Inc.","United States","USD"
"MANH","MANHATTAN ASSOCIATES INC","Equity","0.09","119.71","29,923.00","3,582,082.33","3,582,082.33","Information Technology","US5627501092","NASDAQ","United States","USD"
"VACN","VAT GROUP AG","Equity","0.09","287.53","12,453.00","3,580,594.70","3,580,594.70","Industrials","CH0311864901","SIX Swiss Exchange","Switzerland","CHF"
"SMAR","SMARTSHEET INC CLASS A","Equity","0.09","64.81","54,777.00","3,550,097.37","3,550,097.37","Information Technology","US83200N1037","New York Stock Exchange Inc.","United States","USD"
"NTRA","NATERA INC","Equity","0.09","105.99","33,483.00","3,548,863.17","3,548,863.17","Health Care","US6323071042","NASDAQ","United States","USD"
