Fund Holdings as of,"05/Apr/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"9432","NIPPON TELEGRAPH AND TELEPHONE COR","Equity","0.59","26.09","122,700.00","3,201,329.73","3,201,329.73","Communication","JP3735400008","Tokyo Stock Exchange","Japan","JPY"
"SWKS","SKYWORKS SOLUTIONS INC","Equity","0.56","191.65","15,957.00","3,058,159.05","3,058,159.05","Information Technology","US83088M1027","NASDAQ","United States","USD"
"DHI","D R HORTON INC","Equity","0.56","92.64","33,005.00","3,057,583.20","3,057,583.20","Consumer Discretionary","US23331A1097","New York Stock Exchange Inc.","United States","USD"
"ADM","ARCHER DANIELS MIDLAND","Equity","0.56","57.52","53,071.00","3,052,643.92","3,052,643.92","Consumer Staples","US0394831020","New York Stock Exchange Inc.","United States","USD"
"XLNX","XILINX INC","Equity","0.56","130.73","23,339.00","3,051,107.47","3,051,107.47","Information Technology","US9839191015","NASDAQ","United States","USD"
"RIO","RIO TINTO LTD","Equity","0.56","85.64","35,462.00","3,036,994.05","3,036,994.05","Materials","AU000000RIO1","Asx - All Markets","Australia","AUD"
"ANSS","ANSYS INC","Equity","0.55","362.76","8,192.00","2,971,729.92","2,971,729.92","Information Technology","US03662Q1058","NASDAQ","United States","USD"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Equity","0.54","28.06","105,137.00","2,950,431.48","2,950,431.48","Consumer Staples","NL0011794037","Euronext Amsterdam","Netherlands","EUR"
"STT","STATE STREET CORP","Equity","0.53","85.40","33,662.00","2,874,734.80","2,874,734.80","Financials","US8574771031","New York Stock Exchange Inc.","United States","USD"
"FAST","FASTENAL","Equity","0.52","51.44","54,792.00","2,818,500.48","2,818,500.48","Industrials","US3119001044","NASDAQ","United States","USD"
"6702","FUJITSU LTD","Equity","0.51","148.77","18,700.00","2,782,035.68","2,782,035.68","Information Technology","JP3818000006","Tokyo Stock Exchange","Japan","JPY"
"CSU","CONSTELLATION SOFTWARE INC","Equity","0.50","1,426.92","1,923.00","2,743,967.46","2,743,967.46","Information Technology","CA21037X1006","Toronto Stock Exchange","Canada","CAD"
"KR","KROGER","Equity","0.50","36.73","74,304.00","2,729,185.92","2,729,185.92","Consumer Staples","US5010441013","New York Stock Exchange Inc.","United States","USD"
"RMD","RESMED INC","Equity","0.50","195.11","13,845.00","2,701,297.95","2,701,297.95","Health Care","US7611521078","New York Stock Exchange Inc.","United States","USD"
"FERG","FERGUSON PLC","Equity","0.49","124.29","21,484.00","2,670,273.24","2,670,273.24","Industrials","JE00BJVNSS43","London Stock Exchange","United Kingdom","GBP"
"LYB","LYONDELLBASELL INDUSTRIES NV CLASS","Equity","0.49","104.21","25,512.00","2,658,605.52","2,658,605.52","Materials","NL0009434992","New York Stock Exchange Inc.","United States","USD"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.49","147.33","17,906.00","2,638,090.98","2,638,090.98","Information Technology","US49338L1035","New York Stock Exchange Inc.","United States","USD"
"BBY","BEST BUY INC","Equity","0.48","117.99","22,207.00","2,620,203.93","2,620,203.93","Consumer Discretionary","US0865161014","New York Stock Exchange Inc.","United States","USD"
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Equity","0.46","492.80","5,101.00","2,513,772.80","2,513,772.80","Information Technology","US9892071054","NASDAQ","United States","USD"
"FMG","FORTESCUE METALS GROUP LTD","Equity","0.46","15.48","161,738.00","2,504,377.47","2,504,377.47","Materials","AU000000FMG4","Asx - All Markets","Australia","AUD"
"MXIM","MAXIM INTEGRATED PRODUCTS INC","Equity","0.46","97.32","25,470.00","2,478,740.40","2,478,740.40","Information Technology","US57772K1016","NASDAQ","United States","USD"
"ML","MICHELIN","Equity","0.46","152.61","16,211.00","2,474,019.03","2,474,019.03","Consumer Discretionary","FR0000121261","Nyse Euronext - Euronext Paris","France","EUR"
"MG","MAGNA INTERNATIONAL INC","Equity","0.45","90.39","27,092.00","2,448,960.12","2,448,960.12","Consumer Discretionary","CA5592224011","Toronto Stock Exchange","Canada","CAD"
"KSU","KANSAS CITY SOUTHERN","Equity","0.44","266.78","9,011.00","2,403,954.58","2,403,954.58","Industrials","US4851703029","New York Stock Exchange Inc.","United States","USD"
